"Daily exchange rates by time, type and currency"

" ","Exchange rates (DKK per 100 units of foreign currency)"," "," "," "
" ","Euro  (Jan. 1999-)","US Dollars  (Jan. 1977-)","UK Pounds Sterling  (Jan. 1981-)","Japanese Yen  (Jan. 1981-)"
"2019M03D01",746.1300,655.4800,867.9200,5.8589
"2019M03D04",746.1600,658.1600,869.9000,5.8794
"2019M03D05",746.1400,658.6100,864.0100,5.8844
"2019M03D06",746.0900,659.9600,867.8500,5.9026
"2019M03D07",746.1000,661.9600,868.7700,5.9228
"2019M03D08",746.0000,664.7700,868.4000,5.9814
"2019M03D11",746.0800,663.5400,865.1200,5.9729
"2019M03D12",746.0200,661.6600,866.0000,5.9553
"2019M03D13",746.0100,660.0100,868.6700,5.9259
"2019M03D14",746.2400,660.6800,875.5800,5.9183
"2019M03D15",746.3400,660.0100,873.7800,5.9158
"2019M03D18",746.2100,657.5100,871.1300,5.8970
"2019M03D19",746.2400,657.0200,872.3100,5.8949
"2019M03D20",746.2400,657.2500,864.9000,5.8931
"2019M03D21",746.2600,655.3600,861.2300,5.9265
"2019M03D22",746.2200,660.2500,868.8100,5.9889
"2019M03D25",746.4600,659.1300,871.6500,5.9884
"2019M03D26",746.5400,661.1800,874.8900,5.9857
"2019M03D27",746.6400,663.0300,877.1800,6.0010
"2019M03D28",746.5700,665.5100,872.6200,6.0130
"2019M03D29",746.5200,664.4600,869.7700,5.9986
"2019M04D01",746.4100,664.3000,871.3800,5.9866
"2019M04D02",746.4600,666.4800,867.9800,5.9846
"2019M04D03",746.4300,663.9100,874.1400,5.9571
"2019M04D04",746.3900,665.2900,873.8100,5.9706
"2019M04D05",746.4600,664.5200,868.6000,5.9507
"2019M04D08",746.5100,663.8000,866.1900,5.9549
"2019M04D09",746.5000,661.9700,864.6600,5.9477
"2019M04D10",746.5200,661.8700,867.2100,5.9541
"2019M04D11",746.4800,662.7100,866.3100,5.9575
"2019M04D12",746.4300,659.3300,865.0200,5.8885
"2019M04D15",746.3900,659.7600,864.8300,5.8929
"2019M04D16",746.4200,660.2600,864.0100,5.8964
"2019M04D17",746.5200,660.5800,862.1000,5.9009
"2019M04D23",746.5900,663.9300,863.6100,5.9338
"2019M04D24",746.6600,666.1300,862.7400,5.9571
"2019M04D25",746.6300,671.2500,863.8100,5.9994
"2019M04D26",746.5400,670.5600,864.6500,5.9987
"2019M04D29",746.5200,669.5200,864.6300,5.9894
"2019M04D30",746.4600,665.4100,865.4800,5.9750
"2019M05D01",..,..,..,..
"2019M05D02",746.5500,665.8500,868.7900,5.9719
"2019M05D03",746.5700,669.2700,870.2800,6.0014
"2019M05D06",746.6200,666.6800,873.5500,6.0148
"2019M05D07",746.5700,667.4700,871.7000,6.0339
"2019M05D08",746.5700,666.4600,867.1500,6.0544
"2019M05D09",746.5900,667.0200,866.9200,6.0743
"2019M05D10",746.5800,664.8100,865.6000,6.0574
"2019M05D13",746.6800,664.0100,864.7100,6.0676
"2019M05D14",746.9100,665.3400,861.2600,6.0724
"2019M05D15",746.9500,667.9300,860.3400,6.1105
"2019M05D16",746.7800,666.5900,853.8200,6.0808
"2019M05D20",746.8100,668.7700,852.3300,6.0880
"2019M05D21",746.8500,669.1600,852.4700,6.0587
"2019M05D22",746.8000,668.5200,845.9400,6.0582
"2019M05D23",746.8400,670.4700,847.7200,6.0937
"2019M05D24",746.7800,667.5400,845.5600,6.0907
"2019M05D27",746.8800,666.9800,846.5600,6.0940
"2019M05D28",746.8900,667.3400,845.1600,6.0996
"2019M05D29",746.8700,669.4800,846.5500,6.1264
"2019M06D03",746.8000,667.6800,842.7200,6.1632
"2019M06D04",746.7900,664.1700,841.5700,6.1404
"2019M06D06",746.8700,662.9400,843.3700,6.1309
"2019M06D07",746.8000,662.4700,842.1800,6.1078
"2019M06D11",746.8700,659.7800,838.3800,6.0677
"2019M06D12",746.7800,659.5200,840.9200,6.0852
"2019M06D13",746.7800,661.5100,839.5700,6.0992
"2019M06D14",746.7600,662.9000,838.1800,6.1260
"2019M06D17",746.7400,664.7100,837.0800,6.1178
"2019M06D18",746.7200,667.4900,835.2300,6.1672
"2019M06D19",746.7100,666.2900,838.8100,6.1463
"2019M06D20",746.6100,660.3100,837.4300,6.1343
"2019M06D21",746.5700,659.7500,834.8600,6.1375
"2019M06D24",746.6300,655.2800,835.4800,6.1074
"2019M06D25",746.5400,655.5500,834.2600,6.1207
"2019M06D26",746.5100,657.0200,833.1300,6.0989
"2019M06D27",746.4100,656.4700,834.6500,6.0862
"2019M06D28",746.3600,655.8500,832.4800,6.0878
"2019M07D01",746.4700,657.7400,832.0200,6.0723
"2019M07D02",746.3900,660.4600,834.4900,6.1000
"2019M07D03",746.4100,660.9500,831.6500,6.1377
"2019M07D04",746.3300,661.1700,831.7500,6.1351
"2019M07D05",746.3500,662.8300,832.0200,6.1292
"2019M07D08",746.3100,665.4600,832.7000,6.1273
"2019M07D09",746.3400,666.0800,829.5000,6.1211
"2019M07D10",746.3700,665.2100,829.9600,6.1078
"2019M07D11",746.7300,661.7000,831.6400,6.1237
"2019M07D12",746.7300,663.5800,831.6600,6.1293
"2019M07D15",746.6900,662.6100,830.8300,6.1395
"2019M07D16",746.7800,665.4000,827.3700,6.1651
"2019M07D17",746.6900,665.8000,826.5300,6.1496
"2019M07D18",746.7200,665.7600,831.0500,6.1769
"2019M07D19",746.6200,665.0800,832.9600,6.1740
"2019M07D22",746.6000,665.7200,829.8500,6.1687
"2019M07D23",746.5900,668.2100,831.1100,6.1794
"2019M07D24",746.4900,670.1000,837.4100,6.1996
"2019M07D25",746.4800,671.6000,839.0900,6.2129
"2019M07D26",746.6300,670.3400,832.9900,6.1674
"2019M07D29",746.6800,671.5400,825.5800,6.1806
"2019M07D30",746.6600,669.4100,814.6600,6.1707
"2019M07D31",746.7400,669.6600,815.0100,6.1694
"2019M08D01",746.6000,676.4500,819.0900,6.2123
"2019M08D02",746.6000,672.2500,815.9100,6.2967
"2019M08D05",746.5800,667.6600,812.5600,6.2944
"2019M08D06",746.4400,667.2400,812.8500,6.2673
"2019M08D07",746.3100,666.2300,808.1100,6.2990
"2019M08D08",746.3100,666.7600,810.1900,6.2905
"2019M08D09",746.3100,666.4700,804.0400,6.2974
"2019M08D12",746.3300,666.7200,805.8400,6.3415
"2019M08D13",746.3300,665.0600,803.9800,6.3243
"2019M08D14",746.0800,666.8600,805.0700,6.2971
"2019M08D15",745.9000,668.9700,811.9700,6.3014
"2019M08D16",745.9000,673.4400,819.3700,6.3335
"2019M08D19",745.8200,671.7300,814.3700,6.3023
"2019M08D20",745.6000,673.1700,813.7700,6.3299
"2019M08D21",745.6400,671.5100,814.5100,6.3062
"2019M08D22",745.5800,672.7200,817.9700,6.3115
"2019M08D23",745.5900,673.8300,824.2800,6.3298
"2019M08D26",745.6400,670.7800,821.1200,6.3367
"2019M08D27",745.7800,671.6300,824.6600,6.3508
"2019M08D28",745.7800,672.9000,821.1400,6.3644
"2019M08D29",745.7000,673.5000,823.7000,6.3367
"2019M08D30",745.6200,675.6300,823.3000,6.3576
"2019M09D02",745.6300,679.8200,821.0000,6.3915
"2019M09D03",745.6600,681.7800,820.4400,6.4253
"2019M09D04",745.8400,676.9300,826.3700,6.3731
"2019M09D05",745.8800,674.5200,832.6400,6.3226
"2019M09D06",746.1400,676.6500,832.4200,6.3227
"2019M09D09",745.9800,676.1400,835.6000,6.3213
"2019M09D10",746.0800,675.8000,835.4800,6.2950
"2019M09D11",746.0700,678.0600,837.0300,6.2954
"2019M09D12",746.2200,680.6700,839.2000,6.3164
"2019M09D13",746.7800,673.0200,838.2000,6.2320
"2019M09D16",746.7000,676.9100,843.6300,6.2769
"2019M09D17",746.7100,677.2300,840.7700,6.2628
"2019M09D18",746.7300,675.5900,841.6700,6.2467
"2019M09D19",746.7200,674.7300,841.5200,6.2508
"2019M09D20",746.6800,676.9500,846.2900,6.2688
"2019M09D23",746.6400,679.6900,845.1600,6.3237
"2019M09D24",746.6100,678.5500,846.9500,6.3032
"2019M09D25",746.4800,679.7300,841.8800,6.3261
"2019M09D26",746.4300,682.4200,843.3800,6.3402
"2019M09D27",746.6100,682.7700,840.9900,6.3160
"2019M09D30",746.6200,685.6600,842.9400,6.3493
"2019M10D01",746.5500,685.0300,839.2400,6.3267
"2019M10D02",746.6500,683.4300,839.2200,6.3561
"2019M10D03",746.5600,681.7300,840.8200,6.3716
"2019M10D04",746.6600,680.0800,838.5200,6.3692
"2019M10D07",746.7900,679.3300,837.6300,6.3589
"2019M10D08",746.8900,679.8600,831.7700,6.3603
"2019M10D09",746.9100,680.1800,831.2900,6.3346
"2019M10D10",746.8400,677.1000,828.4000,6.3014
"2019M10D11",746.8800,676.3400,853.4000,6.2370
"2019M10D14",746.8900,677.0800,848.9000,6.2554
"2019M10D15",746.9900,678.6500,858.0400,6.2651
"2019M10D16",747.1200,677.6600,863.1200,6.2312
"2019M10D17",747.0700,672.2500,860.2800,6.1838
"2019M10D18",747.0200,670.3300,864.2600,6.1753
"2019M10D21",747.0800,668.6500,869.4100,6.1595
"2019M10D22",747.0800,671.2300,868.0400,6.1809
"2019M10D23",747.0700,671.6400,864.5800,6.1931
"2019M10D24",747.0500,671.3200,865.7600,6.1811
"2019M10D25",747.0400,672.5800,862.6500,6.1949
"2019M10D28",747.0700,673.8300,865.3900,6.1900
"2019M10D29",747.0600,673.3300,865.3700,6.1802
"2019M10D30",747.0900,672.6900,866.6900,6.1748
"2019M10D31",747.0800,669.7900,867.3600,6.1880
"2019M11D01",747.1200,670.7200,868.6600,6.2038
"2019M11D04",747.1300,669.5900,865.0500,6.1782
"2019M11D05",747.1200,672.5400,867.6000,6.1781
"2019M11D06",747.1300,673.7000,868.4200,6.1808
"2019M11D07",747.2000,674.5500,864.3900,6.1803
"2019M11D08",747.2700,677.2400,867.3300,6.1901
"2019M11D11",747.2200,676.7700,871.4600,6.2118
"2019M11D12",747.2300,678.3700,870.6900,6.2145
"2019M11D13",747.2500,678.9500,871.3300,6.2380
"2019M11D14",747.2000,679.4600,872.4600,6.2532
"2019M11D15",747.2300,677.2100,872.3200,6.2295
"2019M11D18",747.2600,675.5800,875.7300,6.1988
"2019M11D19",747.2100,674.5600,873.1800,6.2030
"2019M11D20",747.3100,675.7500,871.8500,6.2297
"2019M11D21",747.3200,673.8100,873.5700,6.2039
"2019M11D22",747.2700,675.7700,869.1200,6.2257
"2019M11D25",747.1600,678.7400,873.7200,6.2326
"2019M11D26",747.2000,678.0400,871.7300,6.2220
"2019M11D27",747.1200,678.6400,874.3400,6.2167
"2019M11D28",747.1500,678.9200,877.1400,6.2004
"2019M11D29",747.1300,680.3200,876.6600,6.2039
"2019M12D02",747.1200,677.7800,876.7200,6.1873
"2019M12D03",747.1900,674.9100,876.9800,6.2064
"2019M12D04",747.1500,674.2600,883.0500,6.2030
"2019M12D05",747.1600,673.4800,884.5300,6.1907
"2019M12D06",747.2200,673.5400,884.7800,6.2041
"2019M12D09",747.2300,674.7000,887.5000,6.2191
"2019M12D10",747.3100,674.6500,888.8800,6.2136
"2019M12D11",747.2800,674.7400,887.0300,6.2046
"2019M12D12",747.3200,671.0200,883.7700,6.1788
"2019M12D13",747.3100,668.7900,894.9000,6.1040
"2019M12D16",747.3100,670.4700,895.8900,6.1270
"2019M12D17",747.3100,669.5100,881.8000,6.1100
"2019M12D18",747.2000,672.2400,878.4900,6.1341
"2019M12D19",747.2300,672.1500,878.3400,6.1384
"2019M12D20",747.2000,673.3400,877.6900,6.1594
"2019M12D23",747.1900,674.6600,871.7900,6.1660
"2019M12D27",747.0400,669.8100,877.5300,6.1118
"2019M12D30",746.9700,667.5900,876.6400,6.1132
"2020M01D02",747.1900,667.5500,880.8300,6.1371
"2020M01D03",747.3100,670.4100,878.0000,6.1997
"2020M01D06",747.3200,667.6100,876.9800,6.1752
"2020M01D07",747.3100,668.9100,877.3000,6.1685
"2020M01D08",747.3100,672.3400,880.5600,6.1833
"2020M01D09",747.3100,672.6500,876.2500,6.1487
"2020M01D10",747.3100,673.8000,881.1600,6.1456
"2020M01D13",747.3200,671.6900,871.4100,6.1130
"2020M01D14",747.3100,672.3400,872.8400,6.1095
"2020M01D15",747.2700,670.6800,872.1300,6.1037
"2020M01D16",747.2900,669.0800,874.3300,6.0854
"2020M01D17",747.2900,672.7500,878.0800,6.1098
"2020M01D20",747.2600,674.1200,876.2900,6.1181
"2020M01D21",747.2500,672.2900,878.8100,6.1095
"2020M01D22",747.2900,673.9600,884.9400,6.1288
"2020M01D23",747.3200,673.8100,884.4200,6.1508
"2020M01D24",747.3000,677.2100,886.3400,6.1781
"2020M01D27",747.2800,677.8000,885.8400,6.2216
"2020M01D28",747.2800,679.0400,883.2800,6.2263
"2020M01D29",747.2800,679.2800,883.5200,6.2242
"2020M01D30",747.2900,677.5700,887.7000,6.2259
"2020M01D31",747.3100,676.1800,887.8100,6.2095
"2020M02D03",747.2900,675.3000,881.5000,6.2222
"2020M02D04",747.2900,676.4000,880.4100,6.2005
"2020M02D05",747.2800,677.9300,884.9400,6.1789
"2020M02D06",747.2500,679.1300,880.8300,6.1823
"2020M02D07",747.2400,681.2300,882.0100,6.2006
"2020M02D10",747.2400,682.3500,882.9700,6.2177
"2020M02D11",747.2100,685.4500,886.1100,6.2408
"2020M02D12",747.1800,684.6100,888.8900,6.2249
"2020M02D13",747.2100,687.6000,896.2000,6.2680
"2020M02D14",747.1300,689.1100,897.9100,6.2726
"2020M02D17",747.0100,689.4400,897.4400,6.2748
"2020M02D18",747.0200,690.6600,900.1900,6.2933
"2020M02D19",746.9300,691.6000,898.3100,6.2583
"2020M02D20",746.8100,692.1300,890.7600,6.1791
"2020M02D21",747.0200,691.6200,894.5300,6.1758
"2020M02D24",746.9900,690.5100,891.0500,6.1981
"2020M02D25",747.0100,689.1200,893.2300,6.2292
"2020M02D26",747.1000,686.9900,887.8200,6.2191
"2020M02D27",747.2500,681.5500,879.1700,6.2033
"2020M02D28",747.2300,680.7200,875.8500,6.2603
"2020M03D02",747.3000,671.9100,857.8500,6.2369
"2020M03D03",747.3000,672.2100,858.8700,6.2395
"2020M03D04",747.2700,671.7000,860.4100,6.2491
"2020M03D05",747.1200,667.8500,862.0300,6.2453
"2020M03D06",746.9700,658.9400,856.9600,6.2728
"2020M03D09",746.9500,652.0200,854.8000,6.3776
"2020M03D10",747.1400,655.9600,855.0000,6.2970
"2020M03D11",747.2600,659.1900,852.1600,6.3033
"2020M03D12",747.2700,664.8300,843.2000,6.3957
"2020M03D13",747.3200,673.0200,839.0300,6.2742
"2020M03D16",747.3100,669.8100,821.9600,6.3460
"2020M03D17",747.3200,680.5000,822.8300,6.3602
"2020M03D18",747.3200,683.4800,810.6300,6.3451
"2020M03D19",747.3100,691.8900,803.6900,6.2995
"2020M03D20",746.9100,697.5900,820.5300,6.3100
"2020M03D23",747.0600,692.8100,803.5500,6.2720
"2020M03D24",746.6900,688.6400,810.7400,6.2229
"2020M03D25",746.8200,689.7800,816.1700,6.1889
"2020M03D26",746.5900,679.8900,817.3000,6.2123
"2020M03D27",746.0600,679.6600,831.3300,6.2505
"2020M03D30",746.6700,676.7000,839.9000,6.2567
"2020M03D31",746.7400,681.5800,842.4100,6.2804
"2020M04D01",746.4200,682.5300,843.7900,6.3498
"2020M04D02",746.6100,684.5900,850.9500,6.3780
"2020M04D03",746.8900,692.5300,850.1900,6.3782
"2020M04D06",746.6000,691.8700,850.3400,6.3519
"2020M04D07",746.7500,686.0400,847.6800,6.2990
"2020M04D08",746.4000,686.6000,848.6800,6.3062
"2020M04D14",746.2300,680.6800,855.2500,6.3423
"2020M04D15",746.3700,684.5500,854.1200,6.3727
"2020M04D16",746.1900,685.3300,856.0900,6.3712
"2020M04D17",746.0300,686.9500,857.7200,6.3840
"2020M04D20",745.8400,686.7800,853.9200,6.3687
"2020M04D21",745.8200,688.2200,846.3700,6.4079
"2020M04D22",745.8900,686.3800,848.3700,6.3746
"2020M04D23",745.7700,692.3200,855.2400,6.4429
"2020M04D24",745.7700,690.5300,852.3300,6.4169
"2020M04D27",745.9100,687.3500,854.7800,6.4181
"2020M04D28",745.7000,685.5800,856.3600,6.4251
"2020M04D29",745.7100,687.8000,853.4300,6.4552
"2020M04D30",745.8400,685.7700,858.2200,6.4369
"2020M05D01",..,..,..,..
"2020M05D04",746.2200,681.9800,848.9600,6.3867
"2020M05D05",746.1200,688.1100,857.0200,6.4482
"2020M05D06",746.1800,690.4600,855.1900,6.5083
"2020M05D07",746.0500,691.8800,852.8400,6.4925
"2020M05D11",745.9500,689.1600,848.8800,6.4217
"2020M05D12",745.7700,686.8400,849.6600,6.3982
"2020M05D13",745.5600,685.5700,844.8800,6.4118
"2020M05D14",745.7300,691.0000,842.6800,6.4577
"2020M05D15",745.7600,690.6500,840.4100,6.4551
"2020M05D18",745.4800,688.2200,836.1800,6.4094
"2020M05D19",745.6200,680.9300,832.7700,6.3188
"2020M05D20",745.6500,680.4600,834.4500,6.3217
"2020M05D25",745.6800,683.4800,833.0200,6.3478
"2020M05D26",745.5800,679.3400,838.8800,6.3228
"2020M05D27",745.8300,678.5800,832.4500,6.2897
"2020M05D28",745.4400,676.6900,830.7800,6.2811
"2020M05D29",745.4200,669.3800,827.4400,6.2488
"2020M06D02",745.4100,667.0900,836.7600,6.1691
"2020M06D03",745.4700,665.9500,837.0000,6.1335
"2020M06D04",745.5700,662.7300,831.3200,6.0873
"2020M06D08",745.5500,660.6600,836.0700,6.0412
"2020M06D09",745.6800,660.2400,836.7100,6.1051
"2020M06D10",745.5300,655.4100,838.0200,6.1029
"2020M06D11",745.4900,656.9400,831.4200,6.1347
"2020M06D12",745.5100,659.5100,831.5500,6.1480
"2020M06D15",745.5900,662.5700,831.6900,6.1706
"2020M06D16",745.6100,659.3700,834.3000,6.1423
"2020M06D17",745.6000,663.8200,833.5600,6.1799
"2020M06D18",745.5600,664.3700,828.1400,6.2130
"2020M06D19",745.5400,665.0700,823.7600,6.2248
"2020M06D22",745.4300,664.7900,825.2500,6.2176
"2020M06D23",745.3700,658.5700,822.4300,6.1575
"2020M06D24",745.3000,660.7300,824.9700,6.1953
"2020M06D25",745.3400,665.4800,826.9300,6.1983
"2020M06D26",745.2300,664.6100,822.7800,6.2139
"2020M06D29",745.3100,660.5000,814.1900,6.1560
"2020M06D30",745.2600,665.5300,816.7900,6.1765
"2020M07D01",745.2800,665.4300,824.1500,6.1947
"2020M07D02",745.0600,660.1600,825.7800,6.1453
"2020M07D03",745.1600,663.9000,826.8500,6.1747
"2020M07D06",745.1600,657.9800,823.3400,6.1189
"2020M07D07",745.2200,660.0700,826.6400,6.1280
"2020M07D08",744.9300,660.0500,828.4100,6.1367
"2020M07D09",745.0300,656.8800,831.0000,6.1234
"2020M07D10",744.8300,660.5400,831.5600,6.1822
"2020M07D13",744.4800,657.1500,827.7700,6.1325
"2020M07D14",744.4700,654.4800,820.1000,6.0937
"2020M07D15",744.6500,650.6900,822.4500,6.0912
"2020M07D16",744.5200,652.2900,819.2800,6.0906
"2020M07D17",744.5300,651.5000,817.4600,6.0763
"2020M07D20",744.8000,650.5900,822.3000,6.0736
"2020M07D21",744.4900,650.6100,826.7100,6.0676
"2020M07D22",744.4200,642.9600,816.9400,6.0063
"2020M07D23",744.2900,643.3500,816.1500,6.0033
"2020M07D24",744.3800,641.2600,818.1300,6.0342
"2020M07D27",744.3600,632.9600,814.9300,6.0087
"2020M07D28",744.2900,635.2200,818.1900,6.0345
"2020M07D29",744.2700,634.7700,823.4400,6.0372
"2020M07D30",744.2600,633.7900,824.5000,6.0225
"2020M07D31",744.4200,628.3100,826.6500,5.9884
"2020M08D03",744.6600,635.0500,827.2800,5.9807
"2020M08D04",744.6200,632.9100,824.2900,5.9675
"2020M08D05",745.0800,628.5500,825.4400,5.9430
"2020M08D06",745.0000,629.0600,827.4700,5.9619
"2020M08D07",744.8300,630.3000,824.1700,5.9629
"2020M08D10",744.7900,633.1600,826.1200,5.9707
"2020M08D11",744.6900,632.0000,828.8800,5.9590
"2020M08D12",744.7200,632.6700,823.1200,5.9142
"2020M08D13",744.7400,629.3800,824.0700,5.8836
"2020M08D14",744.7000,630.4100,825.8600,5.9098
"2020M08D17",744.7000,628.2800,821.7400,5.9108
"2020M08D18",744.6600,625.4500,823.9700,5.9317
"2020M08D19",744.5300,623.9300,824.1000,5.9212
"2020M08D20",744.5100,628.2800,825.6500,5.9342
"2020M08D21",744.4100,632.5200,829.3800,5.9778
"2020M08D24",744.3500,628.3000,825.4500,5.9424
"2020M08D25",744.2300,629.9600,827.4300,5.9221
"2020M08D26",744.3900,631.4300,829.9600,5.9390
"2020M08D27",744.2900,630.4300,831.5600,5.9382
"2020M08D28",744.3900,624.7500,832.0200,5.9366
"2020M08D31",744.3900,623.4400,830.7500,5.8859
"2020M09D01",744.3400,620.9600,836.5700,5.8646
"2020M09D02",744.1200,627.3700,837.6000,5.9057
"2020M09D03",744.0100,629.8200,834.7000,5.9119
"2020M09D04",744.0300,628.3000,832.9500,5.9149
"2020M09D07",744.1100,629.3200,828.3100,5.9249
"2020M09D08",744.0700,631.3700,822.6000,5.9431
"2020M09D09",744.0300,631.9800,815.7100,5.9499
"2020M09D10",744.0400,627.9300,812.3600,5.9163
"2020M09D11",744.0200,627.6500,805.1500,5.9134
"2020M09D14",743.9800,626.4600,807.0100,5.9131
"2020M09D15",743.9600,625.6000,807.8200,5.9332
"2020M09D16",743.9600,626.8100,813.7600,5.9650
"2020M09D17",743.9600,630.6300,812.8000,6.0298
"2020M09D18",744.0300,628.7800,814.7700,6.0250
"2020M09D21",744.0800,631.2700,812.2400,6.0642
"2020M09D22",744.1700,633.8800,811.1500,6.0610
"2020M09D23",744.2900,636.5800,810.0200,6.0556
"2020M09D24",744.2500,639.1200,815.8100,6.0641
"2020M09D25",744.6500,640.0600,815.2200,6.0669
"2020M09D28",744.5900,638.0400,822.6800,6.0526
"2020M09D29",744.6100,636.3100,818.5900,6.0239
"2020M09D30",744.6200,635.9900,816.1600,6.0166
"2020M10D01",744.2100,633.2600,820.3100,6.0027
"2020M10D02",744.1400,634.3900,820.6900,6.0303
"2020M10D05",744.0000,632.2200,819.2900,5.9879
"2020M10D06",744.0800,630.8400,817.1500,5.9727
"2020M10D07",744.2100,632.2900,814.1200,5.9666
"2020M10D08",744.2300,632.5800,817.5200,5.9686
"2020M10D09",744.2200,630.9600,816.3300,5.9561
"2020M10D12",744.3000,630.8200,821.5400,5.9826
"2020M10D13",744.3200,631.4800,821.6300,5.9842
"2020M10D14",744.3900,633.5200,823.4900,6.0177
"2020M10D15",744.2900,636.2500,822.1000,6.0438
"2020M10D16",744.2000,633.8500,818.5700,6.0215
"2020M10D19",744.1000,631.4000,821.4100,5.9955
"2020M10D20",744.2500,630.1900,814.9100,5.9640
"2020M10D21",744.3200,628.0100,820.1500,5.9895
"2020M10D22",744.0900,629.4600,824.2700,6.0143
"2020M10D23",744.0700,627.5900,820.5900,5.9923
"2020M10D26",744.1200,629.6000,819.9200,5.9942
"2020M10D27",744.0600,628.8500,820.1900,6.0131
"2020M10D28",744.3500,634.7300,821.0200,6.0833
"2020M10D29",744.6200,636.2100,823.4200,6.0989
"2020M10D30",744.6600,636.5700,825.4900,6.0858
"2020M11D02",744.5500,638.9900,826.7900,6.1064
"2020M11D03",744.6200,636.3200,826.9700,6.0756
"2020M11D04",744.6600,635.3200,827.8200,6.0883
"2020M11D05",744.6700,628.1500,823.2900,6.0611
